sp_id	stco	latitude	longitude	elevation
451029957	42003	40.2716217	-79.8870163	317.601540
451030048	42003	40.5535507	-80.1034698	317.601540
451030065	42003	40.4242592	-80.0109024	317.601540
451030363	42003	40.4068413	-79.9087296	317.601540
451030371	42003	40.4123993	-80.0455170	317.601540
451030523	42003	40.3674583	-80.0242996	317.601540
451031890	42003	40.3778191	-80.0462265	317.601540
451031891	42003	40.3806190	-79.8880386	317.601540
451031946	42003	40.5168495	-79.8644867	317.601540
451032822	42003	40.4516487	-79.8863068	317.601540
451033384	42003	40.4640808	-79.9374924	317.601540
451033446	42003	40.4431381	-79.7736511	317.601540
451033620	42003	40.3633347	-79.8666687	317.601540
451033777	42003	40.6326904	-79.9382782	317.601540
451033950	42003	40.5132446	-80.1896896	317.601540
451034041	42003	40.4280891	-79.7991104	317.601540
451034116	42003	40.6083183	-79.9394226	317.601540
451034331	42003	40.5268288	-79.8934479	317.601540
451034831	42003	40.4093590	-79.8152389	317.601540
451034861	42003	40.4636383	-80.0184326	317.601540
451035358	42003	40.4382400	-79.9210968	317.601540
451035583	42003	40.2810287	-79.9591827	317.601540
451035677	42003	40.4839783	-79.7753830	317.601540
451035753	42003	40.4755783	-79.9811401	317.601540
451035759	42003	40.4427910	-79.7126770	317.601540
451035767	42003	40.3860588	-79.8199081	317.601540
451036410	42003	40.4010887	-79.9857330	317.601540
451036674	42003	40.4412918	-79.9379425	317.601540
451036688	42003	40.3101311	-80.0664291	317.601540
451036781	42003	40.4661408	-79.9329071	317.601540
451037222	42003	40.4213600	-79.8536301	317.601540
451038154	42003	40.4760818	-79.9199982	317.601540
451038194	42003	40.2885895	-79.8990097	317.601540
451038684	42003	40.4023514	-80.0095367	317.601540
451038750	42003	40.3002815	-79.9886475	317.601540
451038768	42003	40.4293518	-79.9802017	317.601540
451039182	42003	40.4524307	-79.9671936	317.601540
451039607	42003	40.4294090	-79.9870987	317.601540
451039706	42003	40.5194702	-80.0024490	317.601540
451039788	42003	40.4008903	-80.0635681	317.601540
451039854	42003	40.3753891	-80.0236206	317.601540
451040132	42003	40.6324616	-80.0100479	317.601540
451040145	42003	40.4029083	-80.0897827	317.601540
451040231	42003	40.6324616	-80.0100479	317.601540
451040410	42003	40.4298096	-79.8453903	317.601540
451040651	42003	40.5236397	-79.7696610	317.601540
451040659	42003	40.4801292	-79.9335632	317.601540
451040725	42003	40.3801498	-80.0288925	317.601540
451040956	42003	40.4042397	-79.8695526	317.601540
451041236	42003	40.6026382	-79.7513428	317.601540
451041401	42003	40.4768982	-80.0318070	317.601540
451041470	42003	40.3784294	-80.0954590	317.601540
451041471	42003	40.4561386	-79.7123032	317.601540
451041565	42003	40.5209503	-79.8329010	317.601540
451041648	42003	40.4425011	-80.0399628	317.601540
451041684	42003	40.4453697	-79.7654266	317.601540
451041836	42003	40.4429588	-79.9195175	317.601540
451042337	42003	40.3956299	-80.0886993	317.601540
451042359	42003	40.4897308	-79.9834137	317.601540
451042378	42003	40.4578209	-79.9285202	317.601540
451042480	42003	40.4360504	-79.7578125	317.601540
451043008	42003	40.4756813	-79.9240494	317.601540
451043430	42003	40.4271889	-79.8560486	317.601540
451043949	42003	40.4254417	-79.8808594	317.601540
451044112	42003	40.5391617	-80.1810684	317.601540
451044120	42003	40.5408096	-79.8075485	317.601540
451044270	42003	40.5892029	-80.0454025	317.601540
451044557	42003	40.4639511	-79.9422913	317.601540
451044996	42003	40.3815804	-79.9057465	317.601540
451045010	42003	40.3887100	-80.0422211	317.601540
451045256	42003	40.4492111	-79.9537888	317.601540
451045471	42003	40.4357681	-80.0194168	317.601540
451045612	42003	40.2986412	-80.0439224	317.601540
451046300	42003	40.5638008	-79.9987869	317.601540
